Point,Corner,Vds,Vgs,temperature,Pass/Fail,gm_n,gm_p,ids_n,ids_p,rds_n,rds_p
5,C1_12,0,744.8e-3,0,,0,0,0,-0,inf,inf
5,C1_13,0,806.9e-3,0,,0,0,0,-0,inf,inf
5,C1_14,0,869e-3,0,,0,0,0,-0,inf,inf
5,C1_15,0,931e-3,0,,0,0,0,-0,inf,inf
5,C1_16,0,993.1e-3,0,,0,0,0,-0,inf,inf
5,C1_17,0,1.055,0,,0,0,0,-0,inf,inf
5,C1_18,0,1.117,0,,0,0,0,-0,inf,inf
5,C1_19,0,1.179,0,,0,0,0,-0,inf,inf
5,C1_20,0,1.241,0,,0,0,0,-0,inf,inf
5,C1_21,0,1.303,0,,0,0,0,-0,inf,inf
5,C1_22,0,1.366,0,,0,0,0,-0,inf,inf
5,C1_23,0,1.428,0,,0,0,0,-0,inf,inf
5,C1_24,0,1.49,0,,0,0,0,-0,inf,inf
5,C1_25,0,1.552,0,,0,0,0,-0,inf,inf
5,C1_26,0,1.614,0,,0,0,0,-0,inf,inf
5,C1_27,0,1.676,0,,0,0,0,-0,inf,inf
5,C1_28,0,1.738,0,,0,0,0,-0,inf,inf
5,C1_29,0,1.8,0,,0,0,0,-0,inf,inf
5,C1_30,900e-3,0,0,,28.3e-12,152.4e-6,819.4e-15,-45.66e-6,1.098e12,19.71e3
5,C1_31,900e-3,62.07e-3,0,,240.5e-12,138.8e-6,6.977e-12,-36.62e-6,129e9,24.57e3
5,C1_32,900e-3,124.1e-3,0,,2.021e-9,124.4e-6,58.97e-12,-28.45e-6,15.26e9,31.64e3
5,C1_33,900e-3,186.2e-3,0,,16.43e-9,109.1e-6,487.6e-12,-21.2e-6,1.846e9,42.45e3
5,C1_34,900e-3,248.3e-3,0,,121.7e-9,92.78e-6,3.788e-9,-14.93e-6,237.6e6,60.28e3
5,C1_35,900e-3,310.3e-3,0,,738.8e-9,75.41e-6,25.47e-9,-9.705e-6,35.34e6,92.74e3
5,C1_36,900e-3,372.4e-3,0,,3.391e-6,56.73e-6,136e-9,-5.597e-6,6.615e6,160.8e3
5,C1_37,900e-3,434.5e-3,0,,11.47e-6,36.92e-6,558.6e-9,-2.687e-6,1.611e6,334.9e3
5,C1_38,900e-3,496.6e-3,0,,27.78e-6,18.41e-6,1.735e-6,-989.9e-9,518.9e3,909.1e3
5,C1_39,900e-3,558.6e-3,0,,49.98e-6,6.272e-6,4.131e-6,-267.1e-9,217.9e3,3.37e6
5,C1_40,900e-3,620.7e-3,0,,73.14e-6,1.507e-6,7.955e-6,-54.65e-9,113.1e3,16.47e6
5,C1_41,900e-3,682.8e-3,0,,94.6e-6,274.4e-9,13.17e-6,-8.707e-9,68.33e3,103.4e6
5,C1_42,900e-3,744.8e-3,0,,113.8e-6,38.39e-9,19.65e-6,-1.122e-9,45.8e3,802.1e6
5,C1_43,900e-3,806.9e-3,0,,130.8e-6,4.553e-9,27.25e-6,-128.6e-12,33.03e3,6.999e9
5,C1_44,900e-3,869e-3,0,,145.8e-6,503.9e-12,35.84e-6,-14.06e-12,25.11e3,64e9
5,C1_45,900e-3,931e-3,0,,158.9e-6,54.44e-12,45.3e-6,-1.513e-12,19.87e3,594.7e9
5,C1_46,900e-3,993.1e-3,0,,170.1e-6,5.836e-12,55.51e-6,-162e-15,16.21e3,5.555e12
5,C1_47,900e-3,1.055,0,,179.8e-6,624e-15,66.37e-6,-17.32e-15,13.56e3,51.97e12
5,C1_48,900e-3,1.117,0,,187.8e-6,66.66e-15,77.78e-6,-1.85e-15,11.57e3,486.5e12
5,C1_49,900e-3,1.179,0,,194.3e-6,7.12e-15,89.64e-6,-197.6e-18,10.04e3,4.555e15
5,C1_50,900e-3,1.241,0,,199.4e-6,760.4e-18,101.9e-6,-21.1e-18,8.836e3,42.66e15
5,C1_51,900e-3,1.303,0,,203.1e-6,81.2e-18,114.3e-6,-2.253e-18,7.871e3,399.4e15
